COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS,duplicate
4 intern study i iv,the sydney morning herald,journal,sydney n s w newspapers australia new south wales sydney australian newspapers new south wales sydney the sydney morning herald,True
4 intern study i iv,the sydney morning herald,journal,sydney n s w newspapers australia new south wales sydney australian newspapers new south wales sydney the sydney morning herald,True
a wicked problem,contemporary politics in australia theories practices and issues,book,australia politics and government political science australia contemporary politics in australia theories practices and issues,True
a wicked problem,contemporary politics in australia theories practices and issues,book,australia politics and government political science australia contemporary politics in australia theories practices and issues,True
abnormal behaviour,this is madness a critical look at psychiatry and the future of mental health services,book,mental health services great britain psychiatry great britain this is madness a critical look at psychiatry and the future of mental health services,True
abnormal behaviour,this is madness a critical look at psychiatry and the future of mental health services,book,mental health services great britain psychiatry great britain this is madness a critical look at psychiatry and the future of mental health services,True
aboriginal and torres strait islander perspectives across the curriculum,reform and resistance in aboriginal education the australian experience,book,aboriginal students participation in education onderwijs reform and resistance in aboriginal education the australian experience,True
aboriginal and torres strait islander perspectives across the curriculum,introductory indigenous studies in education the importance of knowing,book,aboriginal australians study and teaching tertiary manners and customs teaching introductory indigenous studies in education the importance of knowing,True
aboriginal and torres strait islander perspectives across the curriculum,reform and resistance in aboriginal education the australian experience,book,aboriginal students participation in education onderwijs reform and resistance in aboriginal education the australian experience,True
aboriginal and torres strait islander perspectives across the curriculum,australian journal of indigenous education the,journal,torres strait islanders education periodicals education indigenous studies education language australian journal of indigenous education the,True
aboriginal and torres strait islander perspectives across the curriculum,introductory indigenous studies in education the importance of knowing,book,aboriginal australians study and teaching tertiary manners and customs teaching introductory indigenous studies in education the importance of knowing,True
aboriginal and torres strait islander perspectives across the curriculum,making sense of place exploring concepts and expressions of place through different senses and lenses,book,environmental psychology forest landscape management human geography making sense of place exploring concepts and expressions of place through different senses and lenses,True
aboriginal and torres strait islander perspectives across the curriculum,australian journal of indigenous education the,journal,torres strait islanders education periodicals education indigenous studies education language australian journal of indigenous education the,True
aboriginal and torres strait islander perspectives across the curriculum,introductory indigenous studies in education the importance of knowing,book,aboriginal australians study and teaching tertiary manners and customs teaching introductory indigenous studies in education the importance of knowing,True
aboriginal and torres strait islander perspectives across the curriculum,the flash of recognition photography and the emergence of indigenous rights,book,photography political aspects namatjira albert 1902 1959 aboriginal australians social conditions pictorial works the flash of recognition photography and the emergence of indigenous rights,True
aboriginal and torres strait islander perspectives across the curriculum,the flash of recognition photography and the emergence of indigenous rights,book,photography political aspects namatjira albert 1902 1959 aboriginal australians social conditions pictorial works the flash of recognition photography and the emergence of indigenous rights,True
aboriginal and torres strait islander perspectives across the curriculum,making sense of place exploring concepts and expressions of place through different senses and lenses,book,environmental psychology forest landscape management human geography making sense of place exploring concepts and expressions of place through different senses and lenses,True
aboriginal organisational principles and practices,contested governance culture power and institutions in indigenous australia,book,community development australia aboriginal australians social conditions aboriginal australians economic conditions contested governance culture power and institutions in indigenous australia,True
aboriginal organisational principles and practices,contested governance culture power and institutions in indigenous australia,book,community development australia aboriginal australians social conditions aboriginal australians economic conditions contested governance culture power and institutions in indigenous australia,True
aboriginal social realities,australian historical studies,journal,australia history periodicals history periodicals new zealand history periodicals australian historical studies,True
aboriginal social realities,aboriginal history,journal,aboriginal australians periodicals ethnology australia periodicals ethnologie australie pe riodiques aboriginal history,True
aboriginal social realities,aboriginal history,journal,aboriginal australians periodicals ethnology australia periodicals ethnologie australie pe riodiques aboriginal history,True
aboriginal social realities,australian historical studies,journal,australia history periodicals history periodicals new zealand history periodicals australian historical studies,True
aboriginal social realities,australian historical studies,journal,australia history periodicals history periodicals new zealand history periodicals australian historical studies,True
aboriginal social realities,the australian quarterly,journal,australia politics and government periodicals australia economic conditions periodicals australia the australian quarterly,True
aboriginal social realities,the australian quarterly,journal,australia politics and government periodicals australia economic conditions periodicals australia the australian quarterly,True
academic business skills for postgraduates,skills development for business and management students study and employability,book,management management science business communication skills development for business and management students study and employability,True
academic business skills for postgraduates,essential academic skills,book,education higher study skills academic achievement essential academic skills,True
academic business skills for postgraduates,skills development for business and management students study and employability,book,management management science business communication skills development for business and management students study and employability,True
academic business skills for postgraduates,essential academic skills,book,education higher study skills academic achievement essential academic skills,True
academic learning skills,academic culture a students guide to studying at university,book,study skills study skills handbooks manuals etc study environment academic culture a students guide to studying at university,True
academic learning skills,communication skills guidebook,book,communication in education report writing college students communication skills guidebook,True
academic learning skills,what do commencing undergraduate students expect from first year university,article,students first year secondary school support what do commencing undergraduate students expect from first year university,True
academic learning skills,the international journal of the first year in higher education,journal,college student orientation college teaching education higher the international journal of the first year in higher education,True
academic learning skills,the international journal of the first year in higher education,journal,college student orientation college teaching education higher the international journal of the first year in higher education,True
academic learning skills,what do commencing undergraduate students expect from first year university,article,students first year secondary school support what do commencing undergraduate students expect from first year university,True
academic learning skills,academic culture a students guide to studying at university,book,study skills study skills handbooks manuals etc study environment academic culture a students guide to studying at university,True
academic learning skills,communication skills guidebook,book,communication in education report writing college students communication skills guidebook,True
academic learning skills,messages an introduction to communication,book,social media language arts disciplines communication studies communication messages an introduction to communication,True
academic learning skills,academic culture a students guide to studying at university,book,study skills study skills handbooks manuals etc study environment academic culture a students guide to studying at university,True
academic learning skills,academic culture a students guide to studying at university,book,study skills study skills handbooks manuals etc study environment academic culture a students guide to studying at university,True
academic learning skills,messages an introduction to communication,book,social media language arts disciplines communication studies communication messages an introduction to communication,True
academic learning skills oua,the international journal of the first year in higher education,journal,college student orientation college teaching education higher the international journal of the first year in higher education,True
academic learning skills oua,academic culture a students guide to studying at university,book,study skills study skills handbooks manuals etc study environment academic culture a students guide to studying at university,True
academic learning skills oua,academic culture a students guide to studying at university,book,study skills study skills handbooks manuals etc study environment academic culture a students guide to studying at university,True
academic learning skills oua,academic culture a students guide to studying at university,book,study skills study skills handbooks manuals etc study environment academic culture a students guide to studying at university,True
academic learning skills oua,the international journal of the first year in higher education,journal,college student orientation college teaching education higher the international journal of the first year in higher education,True
academic learning skills oua,communication skills guidebook,book,communication in education report writing college students communication skills guidebook,True
academic learning skills oua,academic culture a students guide to studying at university,book,study skills study skills handbooks manuals etc study environment academic culture a students guide to studying at university,True
academic learning skills oua,communication skills guidebook,book,communication in education report writing college students communication skills guidebook,True
academic skills for business,the study skills handbook,book,study skills study skills handbooks manuals etc research the study skills handbook,True
academic skills for business,the study skills handbook,book,study skills study skills handbooks manuals etc research the study skills handbook,True
academic skills for business,skills development for business and management students study and employability,book,management management science business communication skills development for business and management students study and employability,True
academic skills for business,skills development for business and management students study and employability,book,management management science business communication skills development for business and management students study and employability,True
accounting for managers,accounting business reporting for decision making,book,accounting accounting decision making accounting textbooks accounting business reporting for decision making,True
accounting for managers,accounting business reporting for decision making,book,accounting accounting decision making accounting textbooks accounting business reporting for decision making,True
accounting for managers,accounting information for business decisions,book,accounting business planning accounting textbooks accounting information for business decisions,True
accounting for managers,accounting information for business decisions,book,accounting business planning accounting textbooks accounting information for business decisions,True
accounting for managers,accounting business reporting for decision making,book,accounting accounting decision making accounting textbooks accounting business reporting for decision making,True
accounting theory and accountability,accounting theory,book,accounting accounting australia australia accounting theory,True
accounting theory and accountability,accounting theory,book,accounting accounting australia australia accounting theory,True
accounting theory and accountability,accounting theory,book,accounting accounting australia australia accounting theory,True
accounting theory and accountability,accounting theory,book,accounting accounting australia australia accounting theory,True
accounting theory and governance,accounting theory,book,accounting accounting australia australia accounting theory,True
accounting theory and governance,accounting forum,journal,accounting australia periodicals accounting periodicals accounting accounting forum,True
accounting theory and governance,accounting theory,book,accounting accounting australia australia accounting theory,True
accounting theory and governance,accounting forum,journal,accounting australia periodicals accounting periodicals accounting accounting forum,True
acquisition of human resources,personnel psychology,journal,personnel management periodicals occupational psychology personnel direction pe riodiques personnel psychology,True
acquisition of human resources,international journal of selection and assessment,journal,prediction of occupational success periodicals employment interviewing periodicals personality and occupation periodicals international journal of selection and assessment,True
acquisition of human resources,relationships of analytical practical and emotional intelligence with behavioral dimensions of performance of top managers,article,company business management management dynamics leadership relationships of analytical practical and emotional intelligence with behavioral dimensions of performance of top managers,True
acquisition of human resources,journal of applied psychology,journal,psychology periodicals psychology applied periodicals psychology applied journal of applied psychology,True
acquisition of human resources,relationships of analytical practical and emotional intelligence with behavioral dimensions of performance of top managers,article,company business management management dynamics leadership relationships of analytical practical and emotional intelligence with behavioral dimensions of performance of top managers,True
acquisition of human resources,international journal of selection and assessment,journal,prediction of occupational success periodicals employment interviewing periodicals personality and occupation periodicals international journal of selection and assessment,True
acquisition of human resources,journal of applied psychology,journal,psychology periodicals psychology applied periodicals psychology applied journal of applied psychology,True
acquisition of human resources,personnel psychology,journal,personnel management periodicals occupational psychology personnel direction pe riodiques personnel psychology,True
acquisition of human resources,personnel psychology,journal,personnel management periodicals occupational psychology personnel direction pe riodiques personnel psychology,True
acquisition of human resources,international journal of selection and assessment,journal,prediction of occupational success periodicals employment interviewing periodicals personality and occupation periodicals international journal of selection and assessment,True
acquisition of human resources,international journal of selection and assessment,journal,prediction of occupational success periodicals employment interviewing periodicals personality and occupation periodicals international journal of selection and assessment,True
acting and performance,actor training,book,acting study and teaching drama study and teaching performing arts acting auditioning actor training,True
acting and performance,actor training,book,acting study and teaching drama study and teaching performing arts acting auditioning actor training,True
acute mental health,borderline personality disorder and emotion dysregulation,journal,borderline personality disorder emotions periodicals emotions borderline personality disorder and emotion dysregulation,True
acute mental health,borderline personality disorder and emotion dysregulation,journal,borderline personality disorder emotions periodicals emotions borderline personality disorder and emotion dysregulation,True
addiction and aboriginal communities,addictions and healing in aboriginal country,book,aboriginal australians health and hygiene aboriginal australians medical care aboriginal australians drug use addictions and healing in aboriginal country,True
addiction and aboriginal communities,addictions and healing in aboriginal country,book,aboriginal australians health and hygiene aboriginal australians medical care aboriginal australians drug use addictions and healing in aboriginal country,True
addiction and aboriginal communities,pimatisiwin a journal of aboriginal and indigenous community health,journal,native peoples health and hygiene canada periodicals canada native peoples medical care canada periodicals pimatisiwin a journal of aboriginal and indigenous community health,True
addiction and aboriginal communities,pimatisiwin a journal of aboriginal and indigenous community health,journal,native peoples health and hygiene canada periodicals canada native peoples medical care canada periodicals pimatisiwin a journal of aboriginal and indigenous community health,True
addiction and aboriginal communities,addictions and healing in aboriginal country,book,aboriginal australians health and hygiene aboriginal australians medical care aboriginal australians drug use addictions and healing in aboriginal country,True
adult learning,american psychologist,journal,psychology periodicals american psychologist,True
adult learning,new directions for adult and continuing education,journal,continuing education united states periodicals adult education united states periodicals united states new directions for adult and continuing education,True
adult learning,american psychologist,journal,psychology periodicals american psychologist,True
adult learning,new directions for adult and continuing education,journal,continuing education united states periodicals adult education united states periodicals united states new directions for adult and continuing education,True
adult learning in education and work,new directions for adult and continuing education,journal,continuing education united states periodicals adult education united states periodicals united states new directions for adult and continuing education,True
adult learning in education and work,new directions for adult and continuing education,journal,continuing education united states periodicals adult education united states periodicals united states new directions for adult and continuing education,True
advanced business analysis and design,essential business process modeling,book,management information systems planning business data processing management essential business process modeling,True
advanced business analysis and design,process aware information systems bridging people and software through process technology,book,computer aided software engineering human computer interaction computers software development engineering tools process aware information systems bridging people and software through process technology,True
advanced business analysis and design,process aware information systems bridging people and software through process technology,book,computer aided software engineering human computer interaction computers software development engineering tools process aware information systems bridging people and software through process technology,True
advanced business analysis and design,introducing systems development,book,information systems [mesh] system design system analysis introducing systems development,True
advanced business analysis and design,essential business process modeling,book,management information systems planning business data processing management essential business process modeling,True
advanced business analysis and design,introducing systems development,book,information systems [mesh] system design system analysis introducing systems development,True
advanced coastal biogeochemistry,science,journal,science periodicals science natuurwetenschappen science,True
advanced coastal biogeochemistry,science,journal,science periodicals science natuurwetenschappen science,True
advanced counselling practice,bergin and garfields handbook of psychotherapy and behavior change,book,psychotherapy research psychotherapy psychology psychotherapy general bergin and garfields handbook of psychotherapy and behavior change,True
advanced counselling practice,bergin and garfields handbook of psychotherapy and behavior change,book,psychotherapy research psychotherapy psychology psychotherapy general bergin and garfields handbook of psychotherapy and behavior change,True
advanced criminal law,beyond the sext technology facilitated sexual violence and harassment against adult women,article,sexual harassment laws regulations and rules law sexting beyond the sext technology facilitated sexual violence and harassment against adult women,True
advanced criminal law,criminal law journal,journal,criminal law australia droit pe nal pe riodiques criminal law journal,True
advanced criminal law,australian new zealand journal of criminology,journal,australian new zealand journal of criminology,True
advanced criminal law,criminal laws materials and commentary on criminal law and process of new south wales,book,criminal procedure new south wales criminal law new south wales criminal law australia new south wales criminal laws materials and commentary on criminal law and process of new south wales,True
advanced criminal law,ohio state journal of criminal law,journal,criminal law united states criminal law united states periodicals ohio state journal of criminal law,True
advanced criminal law,law quarterly review,journal,law great britain periodicals law periodicals great britain ue ce droit law quarterly review,True
advanced criminal law,university of western australia law review,journal,law australia periodicals law reviews australia law university of western australia law review,True
advanced criminal law,criminal law journal,journal,criminal law australia droit pe nal pe riodiques criminal law journal,True
advanced criminal law,criminal law review,journal,criminal law review,True
advanced criminal law,law quarterly review,journal,law great britain periodicals law periodicals great britain ue ce droit law quarterly review,True
advanced criminal law,criminal law journal,journal,criminal law australia droit pe nal pe riodiques criminal law journal,True
advanced criminal law,criminal law review,journal,criminal law review,True
advanced criminal law,criminal law and philosophy,journal,criminal law philosophy criminal law philosophy periodicals strafrecht criminal law and philosophy,True
advanced criminal law,crimes harms and wrongs on the principles of criminalisation,book,criminal law philosophy criminal law moral and ethical aspects criminal law crimes harms and wrongs on the principles of criminalisation,True
advanced criminal law,current issues in criminal justice,journal,criminology periodicals criminal justice administration of australia periodicals criminology australia periodicals current issues in criminal justice,True
advanced criminal law,university of western australia law review,journal,law australia periodicals law reviews australia law university of western australia law review,True
advanced criminal law,ohio state journal of criminal law,journal,criminal law united states criminal law united states periodicals ohio state journal of criminal law,True
advanced criminal law,current issues in criminal justice,journal,criminology periodicals criminal justice administration of australia periodicals criminology australia periodicals current issues in criminal justice,True
advanced criminal law,criminal law journal,journal,criminal law australia droit pe nal pe riodiques criminal law journal,True
advanced criminal law,principles of criminal law,book,criminal law australia criminal law australia principles of criminal law,True
advanced criminal law,buffalo criminal law review,journal,criminal law united states criminal law united states periodicals buffalo criminal law review,True
advanced criminal law,new criminal law review,journal,criminal law strafrecht united states new criminal law review,True
advanced criminal law,criminal law journal,journal,criminal law australia droit pe nal pe riodiques criminal law journal,True
advanced criminal law,new criminal law review,journal,criminal law strafrecht united states new criminal law review,True
advanced criminal law,ohio state journal of criminal law,journal,criminal law united states criminal law united states periodicals ohio state journal of criminal law,True
advanced criminal law,university of western australia law review,journal,law australia periodicals law reviews australia law university of western australia law review,True
advanced criminal law,british journal of criminology,journal,crime periodicals criminology periodicals deviant behavior periodicals british journal of criminology,True
advanced criminal law,child and family law quarterly,journal,children legal status laws etc england parent and child law great britain periodicals child and family law quarterly,True
advanced criminal law,child and family law quarterly,journal,children legal status laws etc england parent and child law great britain periodicals child and family law quarterly,True
advanced criminal law,the sydney law review,journal,law periodicals law australia periodicals law reviews australia periodicals the sydney law review,True
advanced criminal law,psychiatry psychology and law,journal,mentally ill offenders periodicals criminal psychology periodicals forensic psychiatry periodicals psychiatry psychology and law,True
advanced criminal law,central issues in criminal theory,book,criminal law philosophy crime criminology central issues in criminal theory,True
advanced criminal law,criminal law journal,journal,criminal law australia droit pe nal pe riodiques criminal law journal,True
advanced criminal law,medical law review,journal,medical jurisprudence periodicals medical laws and legislation great britain periodicals medical jurisprudence medical law review,True
advanced criminal law,buffalo criminal law review,journal,criminal law united states criminal law united states periodicals buffalo criminal law review,True
advanced criminal law,australian new zealand journal of criminology,journal,australian new zealand journal of criminology,True
advanced criminal law,criminal laws materials and commentary on criminal law and process of new south wales,book,criminal procedure new south wales criminal law new south wales criminal law australia new south wales criminal laws materials and commentary on criminal law and process of new south wales,True
advanced criminal law,criminal law review,journal,criminal law review,True
advanced criminal law,the sydney law review,journal,law periodicals law australia periodicals law reviews australia periodicals the sydney law review,True
advanced criminal law,medical law review,journal,medical jurisprudence periodicals medical laws and legislation great britain periodicals medical jurisprudence medical law review,True
advanced criminal law,medical law review,journal,medical jurisprudence periodicals medical laws and legislation great britain periodicals medical jurisprudence medical law review,True
advanced criminal law,beyond the sext technology facilitated sexual violence and harassment against adult women,article,sexual harassment laws regulations and rules law sexting beyond the sext technology facilitated sexual violence and harassment against adult women,True
advanced criminal law,criminal law and philosophy,journal,criminal law philosophy criminal law philosophy periodicals strafrecht criminal law and philosophy,True
advanced criminal law,criminal law journal,journal,criminal law australia droit pe nal pe riodiques criminal law journal,True
advanced criminal law,criminology criminal justice,journal,criminology periodicals criminal justice administration of periodicals criminology criminology criminal justice,True
advanced criminal law,the journal of criminal law,journal,criminal law great britain periodicals criminal law periodicals criminal law great britain the journal of criminal law,True
advanced criminal law,feminist legal studies,journal,sex and law periodicals women legal status laws etc periodicals feminism periodicals feminist legal studies,True
advanced criminal law,crimes harms and wrongs on the principles of criminalisation,book,criminal law philosophy criminal law moral and ethical aspects criminal law crimes harms and wrongs on the principles of criminalisation,True
advanced criminal law,the journal of criminal law,journal,criminal law great britain periodicals criminal law periodicals criminal law great britain the journal of criminal law,True
advanced criminal law,medical law review,journal,medical jurisprudence periodicals medical laws and legislation great britain periodicals medical jurisprudence medical law review,True
advanced criminal law,current issues in criminal justice,journal,criminology periodicals criminal justice administration of australia periodicals criminology australia periodicals current issues in criminal justice,True
advanced criminal law,ohio state journal of criminal law,journal,criminal law united states criminal law united states periodicals ohio state journal of criminal law,True
advanced criminal law,law quarterly review,journal,law great britain periodicals law periodicals great britain ue ce droit law quarterly review,True
advanced criminal law,criminal law journal,journal,criminal law australia droit pe nal pe riodiques criminal law journal,True
advanced criminal law,criminology criminal justice,journal,criminology periodicals criminal justice administration of periodicals criminology criminology criminal justice,True
advanced criminal law,central issues in criminal theory,book,criminal law philosophy crime criminology central issues in criminal theory,True
advanced criminal law,medical law review,journal,medical jurisprudence periodicals medical laws and legislation great britain periodicals medical jurisprudence medical law review,True
advanced criminal law,current issues in criminal justice,journal,criminology periodicals criminal justice administration of australia periodicals criminology australia periodicals current issues in criminal justice,True
advanced criminal law,psychiatry psychology and law,journal,mentally ill offenders periodicals criminal psychology periodicals forensic psychiatry periodicals psychiatry psychology and law,True
advanced criminal law,child and family law quarterly,journal,children legal status laws etc england parent and child law great britain periodicals child and family law quarterly,True
advanced criminal law,criminal law and philosophy,journal,criminal law philosophy criminal law philosophy periodicals strafrecht criminal law and philosophy,True
advanced criminal law,british journal of criminology,journal,crime periodicals criminology periodicals deviant behavior periodicals british journal of criminology,True
advanced criminal law,child and family law quarterly,journal,children legal status laws etc england parent and child law great britain periodicals child and family law quarterly,True
advanced criminal law,current issues in criminal justice,journal,criminology periodicals criminal justice administration of australia periodicals criminology australia periodicals current issues in criminal justice,True
advanced criminal law,feminist legal studies,journal,sex and law periodicals women legal status laws etc periodicals feminism periodicals feminist legal studies,True
advanced criminal law,the journal of criminal law,journal,criminal law great britain periodicals criminal law periodicals criminal law great britain the journal of criminal law,True
advanced criminal law,australian new zealand journal of criminology,journal,australian new zealand journal of criminology,True
advanced criminal law,australian new zealand journal of criminology,journal,australian new zealand journal of criminology,True
advanced criminal law,principles of criminal law,book,criminal law australia criminal law australia principles of criminal law,True
advanced criminology,policing,journal,police periodicals police publications pe riodiques policing,True
advanced criminology,psychiatry psychology and law,journal,mentally ill offenders periodicals criminal psychology periodicals forensic psychiatry periodicals psychiatry psychology and law,True
advanced criminology,psychiatry psychology and law,journal,mentally ill offenders periodicals criminal psychology periodicals forensic psychiatry periodicals psychiatry psychology and law,True
advanced criminology,policing,journal,police periodicals police publications pe riodiques policing,True
advanced criminology,australian new zealand journal of criminology,journal,australian new zealand journal of criminology,True
advanced criminology,australian new zealand journal of criminology,journal,australian new zealand journal of criminology,True
advanced crop and pasture science,soil analysis an interpretation manual,book,soils australia analysis testing evaluation soils australia testing soil analysis an interpretation manual,True
advanced crop and pasture science,principles of plant genetics and breeding,book,plant breeding plant genetics technology engineering agriculture agronomy general principles of plant genetics and breeding,True
advanced crop and pasture science,principles of field crop production,book,field crops australia field crops australia principles of field crop production,True
advanced crop and pasture science,crop ecology productivity and management in agricultural systems,book,agricultural systems agricultural ecology agriculture crop ecology productivity and management in agricultural systems,True
advanced crop and pasture science,plant analysis an interpretation manual,book,crops nutrition plants composition plants analysis plant analysis an interpretation manual,True
advanced crop and pasture science,crop ecology productivity and management in agricultural systems,book,agricultural systems agricultural ecology agriculture crop ecology productivity and management in agricultural systems,True
advanced crop and pasture science,principles of field crop production,book,field crops australia field crops australia principles of field crop production,True
advanced crop and pasture science,innovations in dryland agriculture,book,arid regions agriculture climatic changes science life sciences botany innovations in dryland agriculture,True
advanced crop and pasture science,principles of plant genetics and breeding,book,plant breeding plant genetics technology engineering agriculture agronomy general principles of plant genetics and breeding,True
advanced crop and pasture science,innovations in dryland agriculture,book,arid regions agriculture climatic changes science life sciences botany innovations in dryland agriculture,True
advanced crop and pasture science,plant analysis an interpretation manual,book,crops nutrition plants composition plants analysis plant analysis an interpretation manual,True
advanced crop and pasture science,innovations in dryland agriculture,book,arid regions agriculture climatic changes science life sciences botany innovations in dryland agriculture,True
advanced crop and pasture science,principles of field crop production,book,field crops australia field crops australia principles of field crop production,True
advanced crop and pasture science,soil analysis an interpretation manual,book,soils australia analysis testing evaluation soils australia testing soil analysis an interpretation manual,True
advanced financial accounting,australian journal of management,journal,economics periodicals management periodicals management australia periodicals australian journal of management,True
advanced financial accounting,financial accounting theory,book,accounting study and teaching accounting redovisning studier och undervisning financial accounting theory,True
advanced financial accounting,accounting theory,book,accounting accounting australia australia accounting theory,True
advanced financial accounting,financial institutions markets,book,financial institutions money markets financial institutions markets,True
advanced financial accounting,charter,journal,charter,True
advanced financial accounting,issues in financial accounting,book,accounting financial statements accounting australia textbooks issues in financial accounting,True
advanced financial accounting,financial accounting theory,book,accounting study and teaching accounting redovisning studier och undervisning financial accounting theory,True
advanced financial accounting,charter,journal,charter,True
advanced financial accounting,financial accounting theory,book,accounting study and teaching accounting redovisning studier och undervisning financial accounting theory,True
advanced financial accounting,issues in financial accounting,book,accounting financial statements accounting australia textbooks issues in financial accounting,True
advanced financial accounting,applying international financial reporting standards,book,accounting standards financial statements standards australian applying international financial reporting standards,True
advanced financial accounting,financial institutions markets,book,financial institutions money markets financial institutions markets,True
advanced financial accounting,financial accounting theory,book,accounting study and teaching accounting redovisning studier och undervisning financial accounting theory,True
advanced financial accounting,accounting finance,journal,accounting periodicals accounting finance periodicals accounting finance,True
advanced financial accounting,accounting theory,book,accounting accounting australia australia accounting theory,True
advanced financial accounting,contemporary issues in accounting,book,accounting australian finance contemporary issues in accounting,True
advanced financial accounting,applying international financial reporting standards,book,accounting standards financial statements standards australian applying international financial reporting standards,True
advanced financial accounting,australian journal of management,journal,economics periodicals management periodicals management australia periodicals australian journal of management,True
advanced financial accounting,accounting finance,journal,accounting periodicals accounting finance periodicals accounting finance,True
advanced financial accounting,contemporary issues in accounting,book,accounting australian finance contemporary issues in accounting,True
advanced human resource perspectives,human resource management in australia strategy people performance,book,personnel management australia career development australia work human resource management in australia strategy people performance,True
advanced human resource perspectives,a handbook of human resource management practice,book,personnel management personnel management handbooks manuals etc personeelsmanagement a handbook of human resource management practice,True
advanced human resource perspectives,a handbook of human resource management practice,book,personnel management personnel management handbooks manuals etc personeelsmanagement a handbook of human resource management practice,True
advanced human resource perspectives,cases in hr practice and strategy,book,personnel management case studies personnel management personnel management australia case studies cases in hr practice and strategy,True
advanced human resource perspectives,a handbook of human resource management practice,book,personnel management personnel management handbooks manuals etc personeelsmanagement a handbook of human resource management practice,True
advanced human resource perspectives,cases in hr practice and strategy,book,personnel management case studies personnel management personnel management australia case studies cases in hr practice and strategy,True
advanced human resource perspectives,human resource management in australia strategy people performance,book,personnel management australia career development australia work human resource management in australia strategy people performance,True
advanced legal research,research methodology a step by step guide for beginners,book,social sciences research methodology research methodology research research methodology a step by step guide for beginners,True
advanced legal research,research methodology a step by step guide for beginners,book,social sciences research methodology research methodology research research methodology a step by step guide for beginners,True
advanced mineral processing,minerals engineering,journal,mines and mineral resources periodicals minerals metallurgie minerals engineering,True
advanced mineral processing,minerals engineering,journal,mines and mineral resources periodicals minerals metallurgie minerals engineering,True
advanced mineral processing,minerals engineering,journal,mines and mineral resources periodicals minerals metallurgie minerals engineering,True
advanced molecular biology modern concepts and applications,new review of film and television studies,journal,motion pictures evaluation periodicals television criticism television criticism periodicals new review of film and television studies,True
advanced molecular biology modern concepts and applications,television new media,journal,digital media periodicals television periodicals massamedia television new media,True
advanced molecular biology modern concepts and applications,film quarterly,journal,motion pictures periodicals radio motion pictures film quarterly,True
advanced molecular biology modern concepts and applications,series international journal of tv serial narratives,journal,television series periodicals television programs television series series international journal of tv serial narratives,True
advanced molecular biology modern concepts and applications,series international journal of tv serial narratives,journal,television series periodicals television programs television series series international journal of tv serial narratives,True
advanced molecular biology modern concepts and applications,television new media,journal,digital media periodicals television periodicals massamedia television new media,True
advanced molecular biology modern concepts and applications,21st century tv dramas exploring the new golden age,book,television series 21st century history and criticism performing arts reference television programs history 21st century 21st century tv dramas exploring the new golden age,True
advanced molecular biology modern concepts and applications,series international journal of tv serial narratives,journal,television series periodicals television programs television series series international journal of tv serial narratives,True
advanced molecular biology modern concepts and applications,variety,journal,motion pictures periodicals theater periodicals motion picture industry variety,True
